Country,Happiness_Score,Population,Land_Area_(KM2),Population_Density,Net_Migrants,Fertility_Rate,Median_Age,Urban_Population_Percentage,Developed_Developing,Human_Development_Index,Health_Care_Index,Constitutional_Form,Literacy_Rate,Latitude,Longitude,River_(Sq KM),River_to_Land_Percent,Pollution_PM2_5
Ecuador,5.73,18190484,248360,73,-21525,2.00,28,64,Developing,0.740,30.00,Republic,0.9452,-2.00,-77.50,6720,2.71,16.00
Egypt,3.98,112716598,995450,113,-29998,2.80,24,41,Developing,0.731,48.05,Republic,0.7584,27.00,30.00,6000,0.60,46.50
El Salvador,6.47,6364943,20720,307,-23249,1.80,27,78,Developing,0.675,40.00,Republic,0.8765,13.83,-88.92,320,1.54,14.20
Estonia,6.45,1322765,42390,31,-1000,1.70,42,68,Developed,0.890,51.41,Republic,0.9982,59.00,26.00,2840,6.70,4.90
Eswatini,3.5,1210822,17200,70,-5268,2.80,22,31,Developing,0.597,44.03,Absolute monarchy,0.8747,26.00,30.00,0,0.00,16.00
Ethiopia,3.86,126527060,1000000,127,-11999,4.00,19,22,Developing,0.498,39.00,Republic,0.4903,8.00,38.00,104300,10.43,31.30
Finland,7.74,5545475,303890,18,13999,1.40,43,87,Developed,0.940,60.53,Republic,1,64.00,26.00,34330,11.30,5.00
France,6.61,64756584,547557,118,67761,1.80,42,84,Developed,0.903,55.31,Republic,0.99,46.00,2.00,3374,0.62,11.50
Gabon,5.11,2436566,257670,9,1000,3.40,22,85,Developing,0.706,33.00,Provisional,0.8324,-1.00,11.75,10000,3.88,25.00
Gambia,4.49,2773168,10120,274,-3000,4.50,17,58,Developing,0.500,45.00,Republic,0.5557,13.47,-16.57,1295,12.80,16.00
Georgia,5.19,3728282,69490,54,-9999,2.10,37,63,Developed,0.802,47.14,Republic,0.9976,42.00,43.50,0,0.00,17.00
Germany,6.72,83294633,348560,239,155751,1.50,45,77,Developed,0.942,55.98,Republic,0.99,51.00,9.00,8350,2.40,11.00
Ghana,4.29,34121985,227540,150,-9999,3.50,21,57,Developing,0.632,44.25,Republic,0.7658,8.00,-2.00,11000,4.83,30.20
Greece,5.93,10341277,128900,80,5000,1.40,45,86,Developed,0.887,52.50,Republic,0.9529,39.00,22.00,1310,1.02,19.00
Guatemala,6.29,18092026,107160,169,-9110,2.30,23,55,Developing,0.627,38.00,Republic,0.7907,15.50,-90.25,1730,1.61,18.60
Guinea,5.02,14190612,245720,58,-4000,4.20,18,40,Developing,0.465,43.00,Provisional,0.3047,11.00,-10.00,140,0.06,16.00
Hong Kong,5.32,7491609,1050,7135,19999,0.80,46,60,Developed,0.952,64.32,Republic,0.935,22.25,114.17,50,4.76,14.50
Hungary,6.02,10156239,90530,112,-156677,1.60,42,68,Developed,0.846,49.97,Republic,0.9938,47.00,20.00,3420,3.78,12.60
Iceland,7.53,375318,100250,4,380,1.70,36,88,Developed,0.959,65.15,Republic,0.99,65.00,-18.00,2750,2.74,3.40
India,4.05,1428627663,2973190,481,-486136,2.00,28,36,Developing,0.633,45.84,Republic,0.7223,20.00,77.00,314070,10.56,53.30
